run_id,task_id,category,condition,provider,model,repetition,result_class,complete_preservation,constraint_satisfaction,constraint_total,constraints_satisfied,correct_refusal,element_change_precision,error,error_codes,estimated_cost,expected_status,input_tokens,latency_ms,musicxml_validity,non_target_preservation,operation_minimality,output_produced,output_tokens,patch_parse,processing_latency_ms,provider_latency_ms,refused,repair_added_cost,repair_attempt_count,repair_attempted,repair_success,task_success,unsafe_execution
conflict_001:full_rewrite:r1,conflict_001,conflicting_or_unsupported,full_rewrite,mock,benchmark-fixture-v2-roundtrip,1,mock_non_formal,1,1.0,1,1,1,1.0,,,0.0,refuse,0,0.0033999967854470015,,1.0,1.0,0,0,,0.0033999967854470015,0.0,1,0,0,0,0,1,0
conflict_002:full_rewrite:r1,conflict_002,conflicting_or_unsupported,full_rewrite,mock,benchmark-fixture-v2-roundtrip,1,mock_non_formal,1,1.0,1,1,1,1.0,,,0.0,refuse,0,0.002800006768666208,,1.0,1.0,0,0,,0.002800006768666208,0.0,1,0,0,0,0,1,0
conflict_001:patch_only:r1,conflict_001,conflicting_or_unsupported,patch_only,mock,benchmark-fixture-v2-roundtrip,1,mock_non_formal,1,1.0,1,1,1,1.0,,,0.0,refuse,0,0.0012999953469261527,,1.0,1.0,0,0,,0.0012999953469261527,0.0,1,0,0,0,0,1,0
conflict_001:sera_full:r1,conflict_001,conflicting_or_unsupported,sera_full,mock,benchmark-fixture-v2-roundtrip,1,mock_non_formal,1,1.0,1,1,1,1.0,,,0.0,refuse,0,0.001400010660290718,,1.0,1.0,0,0,,0.001400010660290718,0.0,1,0,0,0,0,1,0
conflict_002:patch_only:r1,conflict_002,conflicting_or_unsupported,patch_only,mock,benchmark-fixture-v2-roundtrip,1,mock_non_formal,1,1.0,1,1,1,1.0,,,0.0,refuse,0,0.002700006007216871,,1.0,1.0,0,0,,0.002700006007216871,0.0,1,0,0,0,0,1,0
conflict_003:full_rewrite:r1,conflict_003,conflicting_or_unsupported,full_rewrite,mock,benchmark-fixture-v2-roundtrip,1,mock_non_formal,1,1.0,1,1,1,1.0,,,0.0,refuse,0,0.0021000014385208488,,1.0,1.0,0,0,,0.0021000014385208488,0.0,1,0,0,0,0,1,0
conflict_002:sera_full:r1,conflict_002,conflicting_or_unsupported,sera_full,mock,benchmark-fixture-v2-roundtrip,1,mock_non_formal,1,1.0,1,1,1,1.0,,,0.0,refuse,0,0.0012999953469261527,,1.0,1.0,0,0,,0.0012999953469261527,0.0,1,0,0,0,0,1,0
conflict_003:patch_only:r1,conflict_003,conflicting_or_unsupported,patch_only,mock,benchmark-fixture-v2-roundtrip,1,mock_non_formal,1,1.0,1,1,1,1.0,,,0.0,refuse,0,0.0015999976312741637,,1.0,1.0,0,0,,0.0015999976312741637,0.0,1,0,0,0,0,1,0
conflict_003:sera_full:r1,conflict_003,conflicting_or_unsupported,sera_full,mock,benchmark-fixture-v2-roundtrip,1,mock_non_formal,1,1.0,1,1,1,1.0,,,0.0,refuse,0,0.002800006768666208,,1.0,1.0,0,0,,0.002800006768666208,0.0,1,0,0,0,0,1,0
conflict_004:patch_only:r1,conflict_004,conflicting_or_unsupported,patch_only,mock,benchmark-fixture-v2-roundtrip,1,mock_non_formal,1,1.0,1,1,1,1.0,,,0.0,refuse,0,0.0013999961083754897,,1.0,1.0,0,0,,0.0013999961083754897,0.0,1,0,0,0,0,1,0
conflict_004:full_rewrite:r1,conflict_004,conflicting_or_unsupported,full_rewrite,mock,benchmark-fixture-v2-roundtrip,1,mock_non_formal,1,1.0,1,1,1,1.0,,,0.0,refuse,0,0.00100000761449337,,1.0,1.0,0,0,,0.00100000761449337,0.0,1,0,0,0,0,1,0
conflict_004:sera_full:r1,conflict_004,conflicting_or_unsupported,sera_full,mock,benchmark-fixture-v2-roundtrip,1,mock_non_formal,1,1.0,1,1,1,1.0,,,0.0,refuse,0,0.0025000044843181968,,1.0,1.0,0,0,,0.0025000044843181968,0.0,1,0,0,0,0,1,0
conflict_005:full_rewrite:r1,conflict_005,conflicting_or_unsupported,full_rewrite,mock,benchmark-fixture-v2-roundtrip,1,mock_non_formal,1,1.0,1,1,1,1.0,,,0.0,refuse,0,0.0013999961083754897,,1.0,1.0,0,0,,0.0013999961083754897,0.0,1,0,0,0,0,1,0
conflict_005:patch_only:r1,conflict_005,conflicting_or_unsupported,patch_only,mock,benchmark-fixture-v2-roundtrip,1,mock_non_formal,1,1.0,1,1,1,1.0,,,0.0,refuse,0,0.0022000021999701858,,1.0,1.0,0,0,,0.0022000021999701858,0.0,1,0,0,0,0,1,0
conflict_005:sera_full:r1,conflict_005,conflicting_or_unsupported,sera_full,mock,benchmark-fixture-v2-roundtrip,1,mock_non_formal,1,1.0,1,1,1,1.0,,,0.0,refuse,0,0.0017999991541728377,,1.0,1.0,0,0,,0.0017999991541728377,0.0,1,0,0,0,0,1,0
dynamics_001:patch_only:r1,dynamics_001,dynamics_articulation,patch_only,mock,benchmark-fixture-v2-roundtrip,1,mock_non_formal,1,1.0,2,2,0,1.0,,,0.0,success,0,4.408400011016056,1,1.0,1.0,1,0,1,4.408400011016056,0.0,0,0,0,0,0,1,0
dynamics_001:sera_full:r1,dynamics_001,dynamics_articulation,sera_full,mock,benchmark-fixture-v2-roundtrip,1,mock_non_formal,1,1.0,2,2,0,1.0,,,0.0,success,0,513.6394000001019,1,1.0,1.0,1,0,1,513.6394000001019,0.0,0,0,0,0,0,1,0
dynamics_001:full_rewrite:r1,dynamics_001,dynamics_articulation,full_rewrite,mock,benchmark-fixture-v2-roundtrip,1,mock_non_formal,1,1.0,2,2,0,1.0,,,0.0,success,0,480.1778999972157,1,1.0,1.0,1,0,,480.1778999972157,0.0,0,0,0,0,0,1,0
dynamics_002:full_rewrite:r1,dynamics_002,dynamics_articulation,full_rewrite,mock,benchmark-fixture-v2-roundtrip,1,mock_non_formal,1,1.0,2,2,0,1.0,,,0.0,success,0,478.20620000129566,1,1.0,1.0,1,0,,478.20620000129566,0.0,0,0,0,0,0,1,0
dynamics_003:full_rewrite:r1,dynamics_003,dynamics_articulation,full_rewrite,mock,benchmark-fixture-v2-roundtrip,1,mock_non_formal,1,1.0,2,2,0,1.0,,,0.0,success,0,13.11149999673944,1,1.0,1.0,1,0,,13.11149999673944,0.0,0,0,0,0,0,1,0
dynamics_002:sera_full:r1,dynamics_002,dynamics_articulation,sera_full,mock,benchmark-fixture-v2-roundtrip,1,mock_non_formal,1,1.0,2,2,0,1.0,,,0.0,success,0,35.228300010203384,1,1.0,1.0,1,0,1,35.228300010203384,0.0,0,0,0,0,0,1,0
dynamics_002:patch_only:r1,dynamics_002,dynamics_articulation,patch_only,mock,benchmark-fixture-v2-roundtrip,1,mock_non_formal,1,1.0,2,2,0,1.0,,,0.0,success,0,3.9961000002222136,1,1.0,1.0,1,0,1,3.9961000002222136,0.0,0,0,0,0,0,1,0
dynamics_003:patch_only:r1,dynamics_003,dynamics_articulation,patch_only,mock,benchmark-fixture-v2-roundtrip,1,mock_non_formal,1,1.0,2,2,0,1.0,,,0.0,success,0,3.4232000034535304,1,1.0,1.0,1,0,1,3.4232000034535304,0.0,0,0,0,0,0,1,0
dynamics_003:sera_full:r1,dynamics_003,dynamics_articulation,sera_full,mock,benchmark-fixture-v2-roundtrip,1,mock_non_formal,1,1.0,2,2,0,1.0,,,0.0,success,0,23.72569999715779,1,1.0,1.0,1,0,1,23.72569999715779,0.0,0,0,0,0,0,1,0
dynamics_004:patch_only:r1,dynamics_004,dynamics_articulation,patch_only,mock,benchmark-fixture-v2-roundtrip,1,mock_non_formal,1,1.0,2,2,0,1.0,,,0.0,success,0,3.4484000061638653,1,1.0,1.0,1,0,1,3.4484000061638653,0.0,0,0,0,0,0,1,0
dynamics_004:full_rewrite:r1,dynamics_004,dynamics_articulation,full_rewrite,mock,benchmark-fixture-v2-roundtrip,1,mock_non_formal,1,1.0,2,2,0,1.0,,,0.0,success,0,25.22930000850465,1,1.0,1.0,1,0,,25.22930000850465,0.0,0,0,0,0,0,1,0
dynamics_004:sera_full:r1,dynamics_004,dynamics_articulation,sera_full,mock,benchmark-fixture-v2-roundtrip,1,mock_non_formal,1,1.0,2,2,0,1.0,,,0.0,success,0,45.223599998280406,1,1.0,1.0,1,0,1,45.223599998280406,0.0,0,0,0,0,0,1,0
dynamics_005:patch_only:r1,dynamics_005,dynamics_articulation,patch_only,mock,benchmark-fixture-v2-roundtrip,1,mock_non_formal,1,1.0,2,2,0,1.0,,,0.0,success,0,3.25880000309553,1,1.0,1.0,1,0,1,3.25880000309553,0.0,0,0,0,0,0,1,0
dynamics_005:full_rewrite:r1,dynamics_005,dynamics_articulation,full_rewrite,mock,benchmark-fixture-v2-roundtrip,1,mock_non_formal,1,1.0,2,2,0,1.0,,,0.0,success,0,20.124000002397224,1,1.0,1.0,1,0,,20.124000002397224,0.0,0,0,0,0,0,1,0
insertion_001:full_rewrite:r1,insertion_001,insertion_deletion,full_rewrite,mock,benchmark-fixture-v2-roundtrip,1,mock_non_formal,1,1.0,2,2,0,1.0,,,0.0,success,0,13.017599994782358,1,1.0,1.0,1,0,,13.017599994782358,0.0,0,0,0,0,0,1,0
dynamics_005:sera_full:r1,dynamics_005,dynamics_articulation,sera_full,mock,benchmark-fixture-v2-roundtrip,1,mock_non_formal,1,1.0,2,2,0,1.0,,,0.0,success,0,78.16590000584256,1,1.0,1.0,1,0,1,78.16590000584256,0.0,0,0,0,0,0,1,0
insertion_001:patch_only:r1,insertion_001,insertion_deletion,patch_only,mock,benchmark-fixture-v2-roundtrip,1,mock_non_formal,1,1.0,2,2,0,1.0,,,0.0,success,0,3.832599992165342,1,1.0,1.0,1,0,1,3.832599992165342,0.0,0,0,0,0,0,1,0
